year	number_of_cranes
1938	18
1939	22
1940	26
1941	16
1942	19
1943	21
1944	18
1945	22
1946	25
1947	31
1948	30
1949	34
1950	31
1951	25
1952	21
1953	24
1954	21
1955	28
1956	24
1957	26
1958	32
1959	33
1960	36
1961	39
1962	32
1963	33
1964	42
1965	44
1966	43
1967	48
1968	50
1969	56
1970	57
1971	59
1972	51
1973	49
1974	49
1975	57
1976	69
1977	72
1978	75
1979	76
1980	78
1981	73
1982	73
1983	75
1984	86
1985	97
1986	110
1987	134
1988	138
1989	146
1990	146
1991	132
1992	136
1993	143
1994	133
1995	158
1996	159
1997	182
1998	183
1999	188
2000	180
2001	176
2002	185
2003	194
2004	217
2005	220
2006	237
2007	266
2008	270
2009	263
2010	283
